adult,belongs_to_collection,budget,genres,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
FALSE,,14000000,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",11902,tt0114787,sr,Podzemlje,"Black marketeers Marko (Miki Manojlovic) and Blacky (Lazar Ristovski) manufacture and sell weapons to the Communist resistance in WWII Belgrade, living the good life along the way. Marko's surreal duplicity propels him up the ranks of the Communist Party, and he eventually abandons Blacky and steals his girlfriend. After a lengthy stay in a below-ground shelter, the couple reemerges during the Yugoslavian Civil War of the 1990s as Marko realizes that the situation is ripe for exploitation.",14.587894,/bnrLsunhGI5FO316sSThtAHikdV.jpg,"[{'name': 'Komuna', 'id': 653}, {'name': 'Barrandov Studios', 'id': 6242}]","[{'iso_3166_1': 'RS', 'name': 'Serbia'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'HU', 'name': 'Hungary'}, {'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",11-04-1995,0,170,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ru', 'name': 'PÑƒÑÑÐºÐ¸Ð¹'}, {'iso_639_1': 'sr', 'name': 'Srpski'}]",Released,,Underground,FALSE,7.5,143
FALSE,,0,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",27098,tt0113720,sv,Lust och fÃ¤gring stor,This film is set in 1943 when the whole of Europe was embroiled in WWII. It deals with attraction of a 15 year old boy Stig to his teacher Viola. The whole movie revolves around the sexual encounters between Stig and Viola and how he eventually grows out of it.,3.582047,/uJD0PvYGAa1IoZBsX4E6GQ4K2In.jpg,"[{'name': 'Per Holst Filmproduktion', 'id': 17666}]","[{'iso_3166_1': 'SE', 'name': 'Sweden'}, {'iso_3166_1': 'DK', 'name': 'Denmark'}]",08-03-1995,0,130,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'sv', 'name': 'svenska'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,He was a student. She was his teacher. Their love was forbidden.,All Things Fair,FALSE,6.1,23
FALSE,"{'id': 36694, 'name': 'Bloodsport Collection', 'poster_path': '/sTqv7FQalXNVGSpfSJaWek077w9.jpg', 'backdrop_path': '/1DXtjAAaK7597GV5MSZH6nn0uqS.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",25087,tt0112536,en,Bloodsport II,"After thief Alex Cardo gets caught while stealing an ancient katana in East Asia, he soon finds himself imprisoned and beaten up by the crowd there. One of the guards, Demon, feels upset by Alex appearance and tortures him as often as he gets the opportunity. Alex finds a friend and mentor in the jailhouse, Master Sun, who teaches him a superior fighting style called Iron Hand. When a 'best of the best kumite' is to take place, Demon gets an invitation. Now Master Sun and Alex need to find a way to let Alex take part in the kumite too.",3.085207,/4jrgoLBgQgzeMZUCzSgy6SRWmf.jpg,"[{'name': 'FM Entertainment International N.V.', 'id': 10354}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",01-03-1996,684351,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Caught between honor and revenge, how far will one man go...",Bloodsport II,FALSE,5.2,23
FALSE,"{'id': 158391, 'name': 'The Apu Collection', 'poster_path': '/kDZJiqL5bCWsbdw2WFqwQoYLUhj.jpg', 'backdrop_path': '/b5zCX85EvJpizJzA2WaQmkd6DN6.jpg'}",0,"[{'id': 18, 'name': 'Drama'}]",5801,tt0048473,bn,à¦ªà¦¥à§‡à¦° à¦ªà¦¾à¦à¦šà¦¾à¦²à§€,"The film is a coming-of-age story of a young boy named Apu, and life in his small Indian village in the early years of the 20th century. Apu is born to a poor Brahmin family in Bengal. His father Harihar is a priest who dreams of becoming a successful poet and a playwright; he does not earn enough, but the mother Sarbajaya keeps the family going. Because of their limited resources, Sarbajaya resents having to share her home with Harihar's elderly cousin: the old and helpless cripple Indir. Apu's sister Durga is always getting into trouble for stealing guavas from the neighbour's orchards for Indir. She cares for Apu like a good older sister but loves to affectionately tease him. Together, they make do with what they have and enjoy the simple joys of life.",3.900709,/frZj5djlU9hFEjMcL21RJZVuG5O.jpg,"[{'name': 'Government of West Bengal', 'id': 1984}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",26-08-1955,536364,125,"[{'iso_639_1': 'bn', 'name': 'à¦¬à¦¾à¦‚à¦²à¦¾'}]",Released,,Pather Panchali,FALSE,7.9,63
FALSE,"{'id': 158391, 'name': 'The Apu Collection', 'poster_path': '/kDZJiqL5bCWsbdw2WFqwQoYLUhj.jpg', 'backdrop_path': '/b5zCX85EvJpizJzA2WaQmkd6DN6.jpg'}",0,"[{'id': 18, 'name': 'Drama'}]",896,tt0052572,bn,à¦…à¦ªà§à¦° à¦¸à¦‚à¦¸à¦¾à¦°,Apu is a jobless ex-student dreaming vaguely of a future as a writer. An old college friend talks him into a visit up-country to a village wedding....,2.381806,/6Tz1Q69o2n3Zwb0ZffzPL0nFt2T.jpg,"[{'name': 'Satyajit Ray Productions', 'id': 26424}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",01-05-1959,16000,117,"[{'iso_639_1': 'bn', 'name': 'à¦¬à¦¾à¦‚à¦²à¦¾'}]",Released,,The World of Apu,FALSE,8.2,40
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",3065,tt0117128,en,Mystery Science Theater 3000: The Movie,"The mad and evil scientist, Dr. Clayton Forrester, has created an evil little scheme that is bound to give him world global domination but first things first. He plans to torment Mike Nelson and the robots by sending them a real stinker of a film to watch called, ""This Island Earth."" He is convinced that this movie will drive them insane. Will this be the ultimate cheese that breaks the boys' spirits?",2.985163,/kBI3kM9kB5E97I7iwsG0z0WAQhb.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Gramercy Pictures', 'id': 37}, {'name': 'Best Brains', 'id': 1310}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",19-04-1996,0,73,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Every year Hollywood makes hundreds of movies. This is one of them.,Mystery Science Theater 3000: The Movie,FALSE,7,71
FALSE,,0,[],318177,tt0114616,en,Tarantella,"Academy Award winner Mira Sorvino plays photographer Diane Di Sorella in this poignant homecoming story. When her mother dies suddenly, Diane must return to her New Jersey home after years of being estranged from her family. Among her Italian-American neighbors, Diane connects with her heritage. When she reads the journal her mother (Maryann Urbano) kept as a young woman, Diane finally begins to understand her own relationship with her mother.heritage.",0.001662,/qyrwmuuyfR9by2ECs5WIlP0Zntt.jpg,[],[],15-03-1996,0,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Tarantella,FALSE,0,0
FALSE,,80000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",2300,tt0117705,en,Space Jam,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",11.054251,/bJhVLribUKCrKv1h1WFqv4QmRWM.jpg,"[{'name': 'Warner Bros. Family Entertainment', 'id': 3592}, {'name': 'Northern Lights Entertainment', 'id': 8816}, {'name': 'Courtside Seats Productions', 'id': 55527}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",15-11-1996,250200000,88,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Get ready to jam.,Space Jam,FALSE,6.5,1335
FALSE,,9000000,"[{'id': 878, 'name': 'Science Fiction'}]",8069,tt0062711,en,Barbarella,"In the far future, a highly sexual woman is tasked with finding and stopping the evil Durand-Durand. Along the way she encounters various unusual people.",14.304205,/fntrx2BzHkdSNFe5jkgP09XsK7g.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Dino de Laurentiis Cinematografica', 'id': 1216}, {'name': 'Marianne Productions', 'id': 1497}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10-10-1968,2500000,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,See Barbarella do her thing!,Barbarella,FALSE,5.7,149
FALSE,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",288173,tt0110061,en,Hostile Intentions,"A weekend of fun becomes a fight for survival when three American women land in a Mexican jail. After being sexually molested by the guards, they attempt to escape with the help of a fellow prisoner.",0.062388,/mYczVE82Qyp2mSGawL8YfGgK2n2.jpg,"[{'name': 'Libra Pictures', 'id': 4106}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",01-01-1995,0,90,"[{'iso_639_1': 'es', 'name': 'EspaÃ±ol'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,A night of adventure becomes one woman's desperate fight for survival.,Hostile Intentions,FALSE,8,1
FALSE,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",187851,tt0140614,en,They Bite,Aliens who've come to earth to spawn deep beneath the ocean begin terrorizing a Florida beach community. An ichthyologist and a young filmmaker team up to uncover the mystery of these monsters from the deep--before they strike again.,0.466991,/2r3ST0wtPkAPSeFBA0gJ0Fed1ST.jpg,[],[],01-01-1996,0,98,[],Released,They live ... They suck ... They Bite,They Bite,FALSE,5.5,1
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",27768,tt0108181,en,Some Folks Call It a Sling Blade,"25 years after committing a double murder, Karl Childers is going to be released from an institution for the criminally insane. A local reporter comes to talk to him, and listens in horror about his life leading up to the crime. This is the short film that inspired the full-length ""Sling Blade""",0.459376,/xUegt6UYUtE8OIfl504pSammNMm.jpg,[],[],26-03-1994,0,25,[],Released,,Some Folks Call It a Sling Blade,FALSE,7.5,8
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",221917,tt0114307,en,The Run of the Country,"An Irish lad (Matt Keeslar) who fled from his oppressive, widowed father (Albert Finney) falls for a girl (Victoria Smurfit) from an affluent family.",0.117662,/ngOBDDwr5CpzFx9IJljq1CfOGt3.jpg,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': '129 Productions', 'id': 16832}]","[{'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",22-09-1995,0,0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,An unforgettable romance,The Run of the Country,FALSE,8,2
FALSE,"{'id': 144146, 'name': 'Lemmy Caution Collection', 'poster_path': '/uhLJqJT2nC0CL4AnC6FNH1AolH5.jpg', 'backdrop_path': '/m8ENhvf3ZL295uPZKVzQQE6Wruq.jpg'}",220000,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",8072,tt0058898,fr,"Alphaville, une Ã©trange aventure de Lemmy Caution","An American private-eye, arrives in Alphaville, a futuristic city on another planet which is ruled by an evil scientist named Von Braun, who has outlawed love and self-expression.",4.658149,/fFJP3D5fJDFxN7ChqSye1DZ0fTL.jpg,"[{'name': 'Filmstudio', 'id': 46654}, {'name': 'Athos Films', 'id': 54659}, {'name': 'Chaumiane', 'id': 63558}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'FR', 'name': 'France'}]",05-05-1965,0,100,"[{'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]",Released,Suddenly the word is Alphaville... and a secret agent is in a breathless race against the Masters of the Future.,Alphaville,FALSE,6.8,100
FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",35797,tt0082206,fr,Coup de torchon,"In 1938 in the french West Africa, Lucien Cordier is a weak and corrupted policeman despised by the local bad boys. His wife is openly cheating on him and he hasn't got any self-respect anymore. But when comes the occasion, his revenge will be terrible.",2.272213,/4pOSyEPzj3CaJLaKh5bO3NKdA4W.jpg,"[{'name': 'Films A2', 'id': 875}, {'name': 'Les Films de la Tour', 'id': 900}, {'name': 'Little Bear', 'id': 16772}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",04-11-1981,0,128,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]",Released,,Coup de Torchon,FALSE,6.8,21
FALSE,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10769, 'name': 'Foreign'}]",88030,tt0111430,en,Tigrero: A Film That Was Never Made,"In 1993, Sam Fuller takes Jim Jarmusch on a trip into Brazil's Mato Grosso, up the River Araguaia to the village of Santa Isabel Do Morro, where 40 years before, Zanuck had sent Fuller to scout a location and write a script for a movie based on a tigrero, a jaguar hunter. Sam hopes to find people who remember him, and he takes film he shot in 1954. He's Rip Van Winkle, and, indeed, a great deal changed in the village. There are televisions, watches, and brick houses. But, the same KarajÃ¡ culture awaits as well. He gathers the villagers to show his old film footage, and people recognize friends and relatives, thanking Fuller for momentarily bringing them back to life.",0.18343,/cQjmj5hMD8MXPFAQn2mHZRKtJiA.jpg,[],[],01-01-1994,0,75,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'PortuguÃªs'}]",Released,,Tigrero: A Film That Was Never Made,FALSE,7.5,4
FALSE,,0,[],185191,tt0107727,en,L'oeil de Vichy,"Directed by French filmmaker Claude Chabrol, this documentary examines Nazi and Vichy newsreels and propaganda films from World War II meant to turn the French against the Jews and the Allied Forces and into Nazi sympathizers.  This movie is only made of archive pictures: the official newsreels that were broadcasted on French movie screens during 1940 and 1944 (the Occupation).",0.004117,/rGVuwm4zf7ZQUJ889G6mbSf0Izl.jpg,[],[],20-05-1993,0,110,[],Released,,The Eye of Vichy,FALSE,0,0
FALSE,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",83857,tt0081759,en,Windows,"Shire is the subject of a perverse obsession by a Lesbian neighbor, Andrea, who not only is in lust with her but hires a rapist in order to get audio tapes of her moaning. Ashley turns pepping tom and watches Shire with a telescope as she begins an affair with Det. Cortese.",0.400023,/1JaMXfXuVfkt3QMATaZE1jblaKk.jpg,"[{'name': 'Mike Lobell Productions', 'id': 52599}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",18-01-1980,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Windows,FALSE,5.8,9
FALSE,,0,"[{'id': 18, 'name': 'Drama'}]",33245,tt0113443,en,It's My Party,A gathering of friends. A gift of love. A celebration of life.,2.791667,/xoWV9Mv0dKV0h0AuIdGKHRvOk9Z.jpg,"[{'name': 'Opala Productions', 'id': 5270}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",22-03-1996,0,110,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'PÑƒÑÑÐºÐ¸Ð¹'}]",Released,,It's My Party,FALSE,6.2,9
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",124460,tt0109491,en,Country Life,"Adaptation of Chekhov's ""Uncle Vanya"" set in rural Australia in the 1920s. Jack Dickens and his niece Sally run the family farm to support brother-in-law Alexander as a (supposedly brilliant) literary critic in London. Action begins when Alexander returns with his beautiful young wife Deborah, revealing himself as an arrogant failure and wanting to sell the farm out from under Jack. Blakemore introduces themes about Australia's separation from England, as well as expanding the pacifist and ecological philosophies espoused by the local Doctor Max Askey.",0.487357,/s961qNIvQYGbHc7NbgqmFBocL4U.jpg,[],[],27-10-1994,0,118,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Country Life,FALSE,8,1
FALSE,,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",27281,tt0114048,en,Operation Dumbo Drop,"Five Green Berets stationed in Vietnam in 1968 grudgingly undertake the mission of a lifetime -- to secretly transport an 8,000-pound elephant through 200 miles of rough jungle terrain. High jinks prevail when Capt. Sam Cahill promises the Montagnard villagers of Dak Nhe that he'll replace their prized elephant in time for an important ritual. But for Capt. T.C. Doyle, the mission becomes a jumbo-sized headache!",4.357971,/rHOyYYMSxMUcKFvX1qgV0wcpjf8.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Interscope Communications', 'id': 10201}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",28-07-1995,0,107,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'vi', 'name': 'Tiáº¿ng Viá»‡t'}]",Released,A Top-Secret Mission Of Gigantic Proportions!,Operation Dumbo Drop,FALSE,4.7,37
FALSE,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",105045,tt0111613,de,Das Versprechen,"East-Berlin, 1961, shortly after the erection of the Wall. Konrad, Sophie and three of their friends plan a daring escape to Western Germany. The attempt is successful, except for Konrad, who remains behind. From then on, and for the next 28 years, Konrad and Sophie will attempt to meet again, in spite of the Iron Curtain. Konrad, who has become a reputed Astrophysicist, tries to take advantage of scientific congresses outside Eastern Germany to arrange encounters with Sophie. But in a country where the political police, the Stasi, monitors the moves of all suspicious people (such as Konrad's sister Barbara and her husband Harald), preserving one's privacy, ideals and self-respect becomes an exhausting fight, even as the Eastern block begins its long process of disintegration.",0.122178,/5WFIrBhOOgc0jGmoLxMZwWqCctO.jpg,"[{'name': 'Studio Babelsberg', 'id': 264}, {'name': 'Centre National de la CinÃ©matographie', 'id': 310}, {'name': 'Odessa Films', 'id': 1712}, {'name': 'Canal+', 'id': 5358}, {'name': 'Bioskop Film', 'id': 5982}, {'name': 'Westdeutscher Rundfunk (WDR)', 'id': 7025}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",16-02-1995,0,115,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,"A love, a hope, a wall.",The Promise,FALSE,5,1
FALSE,,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",40001,tt0117104,en,Mrs. Winterbourne,"Connie Doyle is eighteen and pregnant her boyfriend has kicked her out. She accidentaly ends up on a train where she meets Hugh Winterbourne and his wife Patricia who is pregnant. The train wrecks and she wakes up in the hosptial to find out that it's been assumed that she's Patricia. Hugh's mother takes her in and she falls in love with Hugh's brother Bill. Just when she thinks everything is going her way, her ex-boyfriend shows up.",9.1861,/4XNWsXCv7vY04RzxyUrN7zWHlxU.jpg,"[{'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",19-04-1996,10070000,105,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The story of a girl who is going from filthy to rich,Mrs. Winterbourne,FALSE,5.5,26
